상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220811080900,모다부평JAJU,,G2,소매,G204,종합 소매,G20499,그 외 기타 종합 소매업,G47190,그 외 기타 종합 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.8237101001007E+018,1,대지,70,127,인천광역시 부평구 부평동 70-127,282373154027,인천광역시 부평구 부평문화로,35,,2.8237101001007E+024,모다부평자주,인천광역시 부평구 부평문화로 35,403713,21387,,1,,126.719573500624,37.4935392189769
MA010120220811225270,푸디,,G2,소매,G206,음료 소매,G20603,생수/음료 소매업,G47221,음료 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010451E+018,1,대지,451,30,인천광역시 부평구 부평동 451-30,282372008008,인천광역시 부평구 부평대로,115,,2.82371010010451E+024,엠타워7차,인천광역시 부평구 부평대로 115,403819,21379,,,,126.721340783519,37.5017965946051
MA010120220811368543,봄날같은오븐,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010954E+018,1,대지,954,,인천광역시 부평구 부평동 954,282372008008,인천광역시 부평구 부평대로,153,,2.82371010010047E+024,부평구청역대명벨리온,인천광역시 부평구 부평대로 153,403011,21366,,2,,126.720695659653,37.5049666009408
MA010120220811978683,카몽,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,45,인천광역시 부평구 부평동 738-45,282374262093,인천광역시 부평구 광장로24번길,34,,2.82371010010738E+024,에코파인,인천광역시 부평구 광장로24번길 34,403825,21404,,1,,126.726213355748,37.4898696841918
MA010120220811947772,카페봉봉,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.8237101001007E+018,1,대지,70,125,인천광역시 부평구 부평동 70-125,282373000066,인천광역시 부평구 부흥로,246,,2.8237101001007E+024,동아2차,인천광역시 부평구 부흥로 246,403818,21387,,,,126.718577310005,37.4968435348621
MA010120220811970693,지린다헤어,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010251E+018,1,대지,251,13,인천광역시 부평구 부평동 251-13,282374262024,인천광역시 부평구 경원대로1347번길,53,,2.82371010010251E+024,,인천광역시 부평구 경원대로1347번길 53,403819,21389,,2,,126.720275427551,37.4933156319764
MA010120220811971784,오페라노래연습장,,R1,예술·스포츠,R104,유원지·오락,R10407,노래방,R91223,노래 연습장 운영업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010529E+018,1,대지,529,169,인천광역시 부평구 부평동 529-169,282374262381,인천광역시 부평구 부평대로71번길,10,3,2.82371010010529E+024,,인천광역시 부평구 부평대로71번길 10-3,403825,21388,,2,,126.721434172844,37.4979675505894
MA010120220811961201,쿠준,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,제90,인천광역시 부평구 광장로 16,403825,21404,,2,,126.72335370452,37.4895656909419
MA010120220811977598,핏24부평모다점,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.8237101001007E+018,1,대지,70,127,인천광역시 부평구 부평동 70-127,282373154027,인천광역시 부평구 부평문화로,35,,2.8237101001007E+024,내모다백화점,인천광역시 부평구 부평문화로 35,403713,21387,,1,,126.719573500624,37.4935392189769
MA010120220811951702,야베스,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,28,인천광역시,28237,부평구,28237510,부평1동,2823710100,부평동,2.82371010010738E+018,1,대지,738,21,인천광역시 부평구 부평동 738-21,282373154004,인천광역시 부평구 광장로,16,,2.82371010010224E+024,부평민자역사,인천광역시 부평구 광장로 16,403825,21404,,2,,126.72335370452,37.4895656909419
